N,BTree Ins,BTree Sear,BTree RSear,Random File Ins,Random File Sear,Random File RSear,Dynamic Hash Ins,Dynamic Hash Sear,Dynamic Hash RSear
10000,321,184,0,415,1154,11,310,125,0
20000,693,416,0,912,4465,3,604,266,1
30000,1152,649,0,1224,9688,57,877,369,0
40000,1484,948,0,1881,17221,18,1150,508,0
50000,1904,1209,0,2333,27049,17,1471,652,0
60000,2324,1446,0,2768,38169,9,1749,772,0
70000,2798,1695,0,3351,51231,105,1971,873,0
80000,3210,2014,0,3654,66385,20,2226,1009,0
90000,3643,2185,0,4175,83345,26,2508,1120,0
100000,3904,2449,0,4792,105243,53,2753,1251,0
